district,idp_in_camp,total,health_issue.chronic,Number_of_health_issue.chronic,above64,Number_of_above64,above64_with_chronic,Number_of_above64_with_chronic,above64_or_chronic,Number_of_above64_or_chronic,district_iom,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode
al.amadiya,2836,5914,0.10632183908045978,301.52873563218395,0.03448275862068966,97.79310344827589,0.02873563218390805,81.49425287356323,0.1120689655172414,317.82758620689657,Amedi,Al-Amadiya,العمادية,IQG09Q01,Duhok,دهوك,IQG09
al.falluja,6201,559509,0.09863013698630137,611.6054794520547,0.016438356164383564,101.93424657534247,0.012328767123287671,76.45068493150684,0.10273972602739725,637.0890410958904,Falluja,Al-Falluja,الفلوجة,IQG01Q01,Al-Anbar,الانبار,IQG01
al.hamdaniya,27291,195147,0.1076506431956669,2937.8937034529454,0.006093432633716995,166.2958700067705,0.004739336492890996,129.34123222748815,0.1090047393364929,2974.848341232228,Al-Hamdaniya,Al-Hamdaniya,الحمدانية,IQG15Q03,Ninewa,نينوى,IQG15
al.hindiya,519,1587,0.10050251256281408,52.16080402010051,0,0,0,0,0.10050251256281408,52.16080402010051,Al-Hindiya,Al-Hindiya,الهندية,IQG12Q02,Kerbala,كربلاء,IQG12
al.kadhmiyah,398,9998,0.14285714285714285,56.857142857142854,0.009216589861751152,3.6682027649769586,0.009216589861751152,3.6682027649769586,0.14285714285714285,56.857142857142854,Kadhimia,Al-Kadhmiyah,الكاظمية,IQG08Q02,Baghdad,بغداد,IQG08
al.mosul,28762,1170316,0.10210970464135022,2936.879324894515,0.01350210970464135,388.3476793248945,0.012658227848101266,364.0759493670886,0.1029535864978903,2961.1510548523206,Mosul,Al-Mosul,الموصل,IQG15Q05,Ninewa,نينوى,IQG15
al.risafa,361,2425,0.12021857923497267,43.39890710382514,0.0273224043715847,9.863387978142077,0.02185792349726776,7.890710382513661,0.12568306010928962,45.37158469945355,Al Resafa,Al-Risafa,الرصافة,IQG08Q06,Baghdad,بغداد,IQG08
al.shikhan,25790,48668,0.10169491525423728,2622.7118644067796,0.021791767554479417,562.0096852300242,0.01694915254237288,437.1186440677966,0.10653753026634383,2747.6029055690074,Al-Shikhan,Al-Shikhan,الشيخان,IQG15Q06,Ninewa,نينوى,IQG15
al.sulaymaniyah,10352,88628,0.05377720870678617,556.7016645326504,0.010243277848911651,106.03841229193341,0.0038412291933418692,39.76440460947503,0.06017925736235595,622.9756722151088,Sulaymaniya,Al-Sulaymaniyah,السليمانية,IQG06Q01,Al-Sulaymaniyah,السليمانية,IQG06
aqra,876,29676,0.10101010101010101,88.48484848484848,0.013468013468013467,11.797979797979798,0.0101010101010101,8.848484848484848,0.10437710437710437,91.43434343434343,Akre,Aqra,عقرة,IQG15Q01,Ninewa,نينوى,IQG15
baquba,489,20961,0.11353711790393012,55.51965065502183,0.017467248908296942,8.541484716157205,0.008733624454148471,4.270742358078603,0.1222707423580786,59.790393013100434,Ba'quba,Baquba,بعقوبة,IQG10Q04,Diyala,ديالى,IQG10
erbil,5988,213288,0.104,622.752,0.016,95.808,0.014666666666666666,87.824,0.10533333333333333,630.736,Erbil,Erbil,اربيل,IQG11Q02,Erbil,اربيل,IQG11
kalar,1120,20764,0.07615894039735098,85.2980132450331,0.009933774834437085,11.125827814569535,0.003311258278145695,3.708609271523178,0.08278145695364238,92.71523178807946,Kalar,Kalar,كلار,IQG06Q06,Al-Sulaymaniyah,السليمانية,IQG06
khanaqin,3486,113508,0.115987460815047,404.33228840125383,0.029258098223615463,101.9937304075235,0.02612330198537095,91.06583072100312,0.11912225705329152,415.2601880877742,Khanaqin,Khanaqin,خانقين,IQG10Q05,Diyala,ديالى,IQG10
kirkuk,8972,243314,0.08366013071895426,750.5986928104576,0.009150326797385621,82.0967320261438,0.006535947712418302,58.640522875817005,0.08627450980392158,774.0549019607844,Kirkuk,Kirkuk,كركوك,IQG13Q04,Kirkuk,كركوك,IQG13
makhmour,7496,61472,0.10803324099722991,809.8171745152355,0.019390581717451522,145.35180055401662,0.01662049861495845,124.58725761772854,0.11080332409972299,830.5817174515236,Makhmur,Makhmour,مخمور,IQG11Q04,Erbil,اربيل,IQG11
sumail,78218,152942,0.09303201506591337,7276.778154425612,0.021845574387947268,1708.7171374764594,0.015819209039548022,1237.3468926553671,0.09905838041431261,7748.148399246704,Sumel,Sumail,سميل,IQG09Q03,Duhok,دهوك,IQG09
tikrit,705,192429,0.09389671361502347,66.19718309859155,0.004694835680751174,3.3098591549295775,0,0,0.09859154929577466,69.50704225352113,Tikrit,Tikrit,تكريت,IQG16Q06,Salah Al-Din,صلاح الدين,IQG16
zakho,41427,90051,0.10578034682080925,4382.162427745665,0.01907514450867052,790.2260115606937,0.013294797687861272,550.7635838150289,0.11156069364161851,4621.62485549133,Zakho,Zakho,زاخو,IQG09Q04,Duhok,دهوك,IQG09
