district,returnee,total,health_issue.chronic,Number_of_health_issue.chronic,above64,Number_of_above64,above64_with_chronic,Number_of_above64_with_chronic,above64_or_chronic,Number_of_above64_or_chronic,district_iom,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode
al.falluja,539340,559509,0.08860759493670887,47789.62025316456,0.008438818565400845,4551.392405063291,0.008438818565400845,4551.392405063291,0.08860759493670887,47789.62025316456,Falluja,Al-Falluja,الفلوجة,IQG01Q01,Al-Anbar,الانبار,IQG01
al.hamdaniya,167670,195147,0.09336609336609336,15654.692874692873,0.03194103194103194,5355.552825552825,0.029484029484029485,4943.587223587224,0.09582309582309582,16066.658476658477,Al-Hamdaniya,Al-Hamdaniya,الحمدانية,IQG15Q03,Ninewa,نينوى,IQG15
al.kadhmiyah,7764,9998,0.0958904109589041,744.4931506849315,0.021526418786692758,167.13111545988258,0.01761252446183953,136.7436399217221,0.09980430528375733,774.8806262230919,Kadhimia,Al-Kadhmiyah,الكاظمية,IQG08Q02,Baghdad,بغداد,IQG08
al.mahmoudiya,49320,54043,0.11166253101736973,5507.196029776675,0.02729528535980149,1346.2034739454095,0.017369727047146403,856.6749379652606,0.12158808933002481,5996.724565756824,Mahmoudiya,Al-Mahmoudiya,المحمودية,IQG08Q05,Baghdad,بغداد,IQG08
al.mosul,1042914,1170316,0.08771929824561403,91483.6842105263,0.014619883040935672,15247.280701754386,0.008771929824561403,9148.368421052632,0.0935672514619883,97582.59649122806,Mosul,Al-Mosul,الموصل,IQG15Q05,Ninewa,نينوى,IQG15
al.shikhan,2142,48668,0.10020876826722339,214.6471816283925,0.012526096033402923,26.830897703549063,0.012526096033402923,26.830897703549063,0.10020876826722339,214.6471816283925,Al-Shikhan,Al-Shikhan,الشيخان,IQG15Q06,Ninewa,نينوى,IQG15
khanaqin,98952,113508,0.1328125,13142.0625,0.02734375,2705.71875,0.02734375,2705.71875,0.1328125,13142.0625,Khanaqin,Khanaqin,خانقين,IQG10Q05,Diyala,ديالى,IQG10
kirkuk,153924,243314,0.17889908256880735,27536.862385321103,0.020642201834862386,3177.330275229358,0.020642201834862386,3177.330275229358,0.17889908256880735,27536.862385321103,Kirkuk,Kirkuk,كركوك,IQG13Q04,Kirkuk,كركوك,IQG13
tikrit,175236,192429,0.18727915194346292,32818.049469964666,0.0353356890459364,6192.084805653711,0.0353356890459364,6192.084805653711,0.18727915194346292,32818.049469964666,Tikrit,Tikrit,تكريت,IQG16Q06,Salah Al-Din,صلاح الدين,IQG16
al.baaj,46410,52830,0.0674955595026643,3132.46891651865,0.021314387211367674,989.2007104795738,0.0053285968028419185,247.30017761989345,0.08348134991119005,3874.36944937833,Al-Ba'aj,Al-Baaj,البعاج,IQG15Q02,Ninewa,نينوى,IQG15
al.daur,60678,60744,0.15625,9480.9375,0.05,3033.9,0.028125,1706.5687500000001,0.178125,10808.268750000001,Al-Daur,Al-Daur,الدور,IQG16Q01,Salah Al-Din,صلاح الدين,IQG16
al.hatra,47448,50202,0.06701030927835053,3179.505154639176,0.010309278350515465,489.1546391752578,0.005154639175257733,244.5773195876289,0.07216494845360825,3424.0824742268046,Hatra,Al-Hatra,الحضر,IQG15Q04,Ninewa,نينوى,IQG15
al.hawiga,164478,164904,0.12720156555772993,20921.859099804304,0.01761252446183953,2896.8727984344423,0.0136986301369863,2253.123287671233,0.13111545988258316,21565.608610567513,Al-Hawiga,Al-Hawiga,الحويجة,IQG13Q01,Kirkuk,كركوك,IQG13
al.khalis,74430,79848,0.1290909090909091,9608.236363636364,0.023636363636363636,1759.2545454545455,0.023636363636363636,1759.2545454545455,0.1290909090909091,9608.236363636364,Al-Khalis,Al-Khalis,الخالص,IQG10Q01,Diyala,ديالى,IQG10
al.muqdadiya,58668,58848,0.18262806236080179,10714.42316258352,0.028953229398663696,1698.6280623608018,0.024498886414253896,1437.3006681514476,0.18708240534521156,10975.750556792871,Al-Muqdadiya,Al-Muqdadiya,المقدادية,IQG10Q02,Diyala,ديالى,IQG10
al.ramadi,598998,606054,0.11233480176211455,67288.32158590309,0.015418502202643174,9235.651982378855,0.011013215859030838,6596.894273127754,0.11674008810572688,69927.0792951542,Ramadi,Al-Ramadi,الرمادي,IQG01Q03,Al-Anbar,الانبار,IQG01
al.rutba,27528,30624,0.08278145695364239,2278.8079470198677,0.0033112582781456954,91.1523178807947,0,0,0.08609271523178808,2369.960264900662,Al-Rutba,Al-Rutba,الرطبة,IQG01Q04,Al-Anbar,الانبار,IQG01
al.shirqat,160854,161514,0.06698564593301436,10774.909090909092,0.012759170653907496,2052.3636363636365,0.001594896331738437,256.54545454545456,0.07814992025518341,12570.727272727272,Al-Shirqat,Al-Shirqat,الشرقاط,IQG16Q02,Salah Al-Din,صلاح الدين,IQG16
ana,15168,15720,0.07637231503579953,1158.415274463007,0.016706443914081145,253.40334128878283,0.007159904534606206,108.60143198090692,0.08591885441527447,1303.2171837708831,Ana,Ana,عنه,IQG01Q05,Al-Anbar,الانبار,IQG01
balad,67572,72078,0.16206896551724137,10951.324137931033,0.02413793103448276,1631.048275862069,0.02413793103448276,1631.048275862069,0.16206896551724137,10951.324137931033,Balad,Balad,بلد,IQG16Q04,Salah Al-Din,صلاح الدين,IQG16
beygee,117942,118338,0.06610407876230662,7796.447257383967,0.01828410689170183,2156.464135021097,0.008438818565400845,995.2911392405065,0.0759493670886076,8957.620253164558,Baiji,Beygee,بيجي,IQG16Q03,Salah Al-Din,صلاح الدين,IQG16
daquq,17490,23586,0.0663265306122449,1160.0510204081634,0.01870748299319728,327.1938775510204,0.013605442176870748,237.95918367346937,0.07142857142857142,1249.2857142857142,Daquq,Daquq,داقوق,IQG13Q02,Kirkuk,كركوك,IQG13
dibis,7236,8664,0.13109425785482123,948.5980498374864,0.024918743228602384,180.31202600216685,0.016251354279523293,117.59479956663054,0.13976164680390032,1011.3152762730227,Dabes,Dibis,دبس,IQG13Q03,Kirkuk,كركوك,IQG13
haditha,27462,28638,0.12475633528265107,3426.0584795321633,0.011695906432748537,321.1929824561403,0.011695906432748537,321.1929824561403,0.12475633528265107,3426.0584795321633,Haditha,Haditha,حديثة,IQG01Q06,Al-Anbar,الانبار,IQG01
heet,176310,177702,0.08189655172413793,14439.181034482757,0.01293103448275862,2279.8706896551726,0.004310344827586207,759.9568965517241,0.09051724137931035,15959.094827586207,Heet,Heet,هيت,IQG01Q07,Al-Anbar,الانبار,IQG01
samarra,57462,74112,0.10249307479224377,5889.457063711911,0.0110803324099723,636.6980609418282,0.008310249307479225,477.52354570637124,0.10526315789473684,6048.631578947368,Samarra,Samarra,سامراء,IQG16Q05,Salah Al-Din,صلاح الدين,IQG16
sinjar,97434,131022,0.08433734939759037,8217.32530120482,0.02168674698795181,2113.0265060240968,0.012048192771084338,1173.9036144578313,0.09397590361445785,9156.448192771086,Sinjar,Sinjar,سنجار,IQG15Q07,Ninewa,نينوى,IQG15
telafar,352002,361230,0.10891089108910891,38336.851485148516,0.01485148514851485,5227.752475247525,0.007425742574257425,2613.8762376237623,0.11633663366336634,40950.72772277228,Telafar,Telafar,تلعفر,IQG15Q08,Ninewa,نينوى,IQG15
tilkaef,101202,110508,0.07262569832402235,7349.86592178771,0.01675977653631285,1696.122905027933,0.008379888268156424,848.0614525139665,0.08100558659217877,8197.927374301677,Tilkaif,Tilkaef,تلكيف,IQG15Q09,Ninewa,نينوى,IQG15
tooz.khurmato,52170,73830,0.07301980198019802,3809.4430693069303,0.038366336633663366,2001.5717821782177,0.024752475247524754,1291.3366336633665,0.08663366336633664,4519.678217821783,Tuz Khurmatu,Tooz Khurmato,طوز خورماتو,IQG16Q07,Salah Al-Din,صلاح الدين,IQG16
al.kaim,98472,98472,0.1483375959079284,14607.099744245525,0.02813299232736573,2770.3120204603583,0.025575447570332484,2518.4654731457804,0.15089514066496165,14858.946291560103,Al-Ka'im,Al-Kaim,القائم,IQG01Q02,Al-Anbar,الانبار,IQG01
